Known As,Full Name,Overall,Value(in Euro),Positions Played,Best Position,Nationality,Age,Club Name
M. Loría,Marvin Loría,65,950000,"RM,LM",CAM,Costa Rica,25,Portland Timbers
João Veras,João Henrique Oliveira Veras,65,1600000,ST,ST,Brazil,21,Portimonense SC
L. Hroššo,Lukáš Hroššo,65,80000,GK,GK,Slovakia,35,Cracovia
D. Gnaase,Dave Gnaase,65,800000,"CDM,CM",CDM,Germany,25,1. FC Saarbrücken
R. Sharahili,Riyadh Sharahili,65,600000,"CDM,CM",CDM,Saudi Arabia,29,Abha Club
C. Vincent,Christophe Vincent,65,700000,"CM,CDM",CM,France,29,SC Bastia
D. Scarlett,Dane Scarlett,65,2000000,ST,ST,England,18,Portsmouth
F. Azaz,Finn Azaz,65,1600000,"CAM,CM",CAM,Republic of Ireland,21,Plymouth Argyle
A. Konradsen,Anders Konradsen,65,575000,"CM,CDM",CM,Norway,31,FK Bodø/Glimt
R. Garcés,Roberto Garcés,65,625000,"CDM,CM",CDM,Ecuador,28,CS Emelec
A. Fuentes,Aldair Fuentes,65,825000,"CDM,CM,CB",CB,Peru,24,Club Alianza Lima
A. Jashari,Ardon Jashari,65,1800000,"CDM,CM",CAM,Switzerland,19,FC Luzern
Y. Kaabouni,Younès Kaabouni,65,825000,"CDM,CM",CM,France,27,FC Sochaux-Montbéliard
J. Steele,Jason Steele,65,375000,GK,GK,England,31,Brighton & Hove Albion
G. Ricci,Giacomo Ricci,65,875000,LB,LB,Italy,25,Bari
M. Warming,Magnus Warming,65,1600000,"LW,LM",LW,Denmark,22,SV Darmstadt 98
M. Keita,Mandela Keita,65,1500000,"CDM,CM",CDM,Belgium,20,Oud-Heverlee Leuven
M. Mert,Muhammed Mert,65,825000,"CAM,CM",CAM,Belgium,27,Atakaş Hatayspor
W. Janssens,Wolke Janssens,65,775000,"RB,CB,RWB",CB,Belgium,26,Sint-Truidense VV
M. Frøkjær-Jensen,Mads Frøkjær-Jensen,65,1100000,"CAM,LW",RM,Denmark,22,Odense Boldklub
E. Uribe,Eduardo Uribe,65,140000,"CDM,CB",CDM,Peru,36,Sport Boys
E. Alvarez,Efrain Alvarez,65,1600000,"RM,CAM,RW",CAM,Mexico,20,LA Galaxy
F. Lakenmacher,Fynn Lakenmacher,65,1100000,ST,ST,Germany,22,TSV 1860 München
I. Gomis,Iron Gomis,65,1100000,"CM,RW,CAM",CAM,France,22,Amiens SC
T. Rowe,Tommy Rowe,65,375000,"LB,CM,CAM",LB,England,33,Doncaster Rovers
J. Löhmannsröben,Jan Löhmannsröben,65,500000,"CDM,CM,CB",CDM,Germany,31,FSV Zwickau
A. Hopmark,Andreas Eines Hopmark,65,575000,"CB,CDM",CB,Norway,30,Kristiansund BK
Y. Deichmann,Yannick Deichmann,65,700000,"RB,RM,CM",RM,Germany,27,TSV 1860 München
J. Osorio,Johan Osorio,65,500000,CB,CB,Venezuela,31,Hermanos Colmenarez
T. Anselm,Tobias Anselm,65,1500000,"ST,LM",ST,Austria,22,LASK Linz
A. McEneff,Aaron McEneff,65,825000,CM,CAM,Republic of Ireland,26,Perth Glory
Roger,Roger Junio Rodrigues Figueira,65,850000,"LW,RW,CAM",LM,Brazil,26,CFR Cluj
J. Gauci,Joe Gauci,65,925000,GK,GK,Australia,21,Adelaide United
Alex Craninx,Alexandro Marco Craninx Joostens,65,725000,GK,GK,Belgium,26,Molde FK
A. Þrándarson,Aron Elís Þrándarson,65,825000,CM,CAM,Iceland,27,Odense Boldklub
K. Pusch,Kolja Pusch,65,700000,"RM,LM,CAM",RM,Germany,29,MSV Duisburg
N. Iyobosa Edokpolor,Nosa Iyobosa Edokpolor,65,875000,"LB,LWB,CB",LB,Austria,25,SC Rheindorf Altach
J. Chougrani,Joris Chougrani,65,500000,CB,CB,France,31,Rodez Aveyron Football
D. Avounou,Durel Avounou,65,1100000,"CM,CDM,CAM",ST,Congo,24,Ümraniyespor
H. Radetinac,Haris Radetinac,65,230000,"LW,RB,RW",CAM,Serbia,36,Djurgårdens IF
Pep Gayà,Josep Gayà Martínez,65,1700000,CB,CB,Spain,22,RCD Mallorca
Lim Jong Eun,Jong Eun Lim,65,475000,CB,CB,Korea Republic,32,Ulsan Hyundai FC
Q. Moll,Quirin Moll,65,500000,"CDM,CB",CDM,Germany,31,TSV 1860 München
Lee Gyu Seong,Gyu Seong Lee,65,625000,"CDM,CM",CDM,Korea Republic,28,Ulsan Hyundai FC
C. Krempicki,Connor Krempicki,65,750000,"CM,CAM",CM,Germany,27,1. FC Magdeburg
D. Mbayo,Dylan Mbayo,65,1600000,"RM,LM",CAM,Belgium,20,KV Kortrijk
I. Stoica,Ionuț Stoica,65,230000,CB,CB,Romania,34,AFC Hermannstadt
Maurides,Maurides Roque Junior,65,725000,ST,ST,Brazil,28,Radomiak Radom
D. Hoyos,Diego Hoyos,65,700000,CM,CM,Bolivia,29,Club Deportivo Guabirá
F. Tait,Fabian Tait,65,700000,CM,CM,Italy,29,Südtirol
F. Al Birekan,Firas Al Birekan,65,1600000,ST,ST,Saudi Arabia,22,Al Fateh
P. Lima,Paulo Lima,65,575000,CB,CB,Uruguay,30,Club Atlético Central Córdoba
M. Guevgeozián,Mauro Guevgeozián,65,240000,ST,ST,Armenia,36,Sport Boys
J. Kauko,Joni Kauko,65,575000,"CM,CAM",CB,Finland,31,ATK Mohun Bagan FC
M. Pinnock,Mitch Pinnock,65,750000,"LM,RM",LM,England,27,Northampton Town
T. Payne,Tim Payne,65,675000,"CB,RB",CB,New Zealand,28,Wellington Phoenix
C. Maguire,Chris Maguire,65,450000,"CAM,ST,RW",CAM,Scotland,33,Hartlepool United
Ahn Tae Hyun,Tae Hyun Ahn,65,625000,"LB,RB,CB",LB,Korea Republic,29,Jeju United FC
H. Al Moqahwi,Hussain Al Moqahwi,65,325000,"CM,CAM,CDM",CAM,Saudi Arabia,34,Al Fateh
Ely,Ely Ernesto Lopes Fernandes,65,600000,"RW,LW",RW,Cape Verde Islands,31,Universitatea Cluj
C. Greger,Christoph Greger,65,950000,CB,CB,Germany,25,Viktoria Köln
D. Arzani,Daniel Arzani,65,925000,LW,CAM,Australia,23,Macarthur FC
Ricardinho,Ricardo José Varzim Miranda,65,650000,"RWB,CB,CDM",RWB,Portugal,28,FC Voluntari
Israel Puerto,Israel Puerto Pineda,65,650000,CB,CB,Spain,29,Jagiellonia Białystok
F. Rojas,Fabio Rojas,65,1000000,"CB,RB",CB,Peru,22,Club Alianza Lima
M. Ortíz,Marcelo Ortíz,65,625000,"CB,RB",CB,Argentina,28,Atlético Tucumán
A. Pomini,Alberto Pomini,65,80000,GK,GK,Italy,41,SPAL
B. Diaby,Bambo Diaby,65,875000,CB,CB,Senegal,24,Preston North End
E. Doyle,Eoin Doyle,65,350000,ST,ST,Republic of Ireland,34,St. Patrick's Athletic
A. Nemec,Adam Nemec,65,240000,ST,ST,Slovakia,36,FC Voluntari
S. Bruzzese,Sébastien Bruzzese,65,230000,GK,GK,Belgium,33,KSV Cercle Brugge
C. Hazard,Conor Hazard,65,1400000,GK,GK,Northern Ireland,24,HJK Helsinki
S. Tanser,Scott Tanser,65,700000,LWB,LWB,England,27,St. Mirren
A. Giay,Agustín Giay,65,1700000,"RWB,RM,CM",CDM,Argentina,18,San Lorenzo de Almagro
J. Scherzer,Jonathan Scherzer,65,775000,"LB,LWB,LM",LB,Austria,26,RZ Pellets Wolfsberger AC
A. Tibidi,Alexis Tibidi,65,1800000,"CF,ST,CAM",ST,France,18,SC Rheindorf Altach
N. Valentini,Nicolás Valentini,65,1700000,CB,CB,Argentina,21,Club Atlético Aldosivi
C. Olivares,Christopher Olivares,65,1600000,"ST,RW",ST,Peru,23,Club Sporting Cristal
J. Assehnoun,Jasin Assehnoun,65,1100000,"LM,RM",CAM,Finland,23,FC Emmen
N. Ogbeta,Nathanael Ogbeta,65,1500000,"LWB,LB",LWB,England,21,Swansea City
B. Nimaga,Bakary Nimaga,65,725000,"CDM,CM",CB,Mali,27,SC Rheindorf Altach
D. Telford,Dom Telford,65,1000000,ST,ST,England,25,Crawley Town
S. Handle,Simon Handle,65,700000,"LM,LB,RB",LM,Germany,29,Viktoria Köln
S. Mihajlovic,Stefan Mihajlovic,65,725000,ST,ST,Serbia,28,Shijiazhuang Ever Bright F.C.
P. Vagić,Pavle Vagić,65,1500000,"CB,CDM",CDM,Sweden,22,Hammarby IF
Villahermosa,Daniel Villahermosa,65,1600000,CM,CAM,Spain,21,RCD Espanyol de Barcelona
Yu Hai,Hai Yu,65,190000,"CB,LB",CB,China PR,35,Shanghai Port FC
C. Booth,Callum Booth,65,525000,LWB,LWB,Scotland,31,St. Johnstone FC
Julio Martínez,Julio Martínez Cortés,65,1600000,"ST,CAM",ST,Spain,21,Granada CF
R. Oaidă,Răzvan Oaidă,65,1100000,"CM,CDM",CDM,Romania,24,FCSB (Steaua)
M. Salem,Mohammed Salem,65,130000,"CB,RB",CB,Saudi Arabia,36,Al Raed
L. Capezzi,Leonardo Capezzi,65,825000,"CM,CDM",CM,Italy,27,US Salernitana 1919
Geny Catamo,Geny Cipriano Catamo,65,1800000,RW,LM,Mozambique,21,Clube Sport Marítimo
I. Cazal,Iván Cazal,65,1600000,"RM,LM",RM,Paraguay,23,Club Atlético Lanús
S. Mino,Sota Mino,65,825000,"CDM,CM",CDM,Japan,27,AFC Hermannstadt
L. Ihorst,Luc Ihorst,65,1600000,"ST,RM",ST,Germany,22,Eintracht Braunschweig
M. Maigaard,Mikkel Maigaard,65,825000,"CM,RM",CAM,Denmark,26,Sarpsborg 08 FF
C. Alhadhur,Chaker Alhadhur,65,625000,"RB,LB",RB,Comoros,30,AC Ajaccio
N. Cambiaghi,Nicolò Cambiaghi,65,1800000,"LW,CAM",CAM,Italy,21,Empoli
J. Baas,Julian Baas,65,1600000,"LM,CM,CDM",RM,Netherlands,20,Excelsior
C. Shaughnessy,Conor Shaughnessy,65,775000,CB,CB,Republic of Ireland,26,Burton Albion
S. High,Scott High,65,1600000,"CM,RB",CAM,Scotland,21,Rotherham United
Xande Silva,Alexandre da Costa Silva,65,950000,"LM,ST",CAM,Portugal,25,Dijon FCO
H. Espínola,Héctor Espínola,65,475000,GK,GK,Paraguay,30,Guaireña FC
V. Müller,Valentino Müller,65,1300000,"CDM,CM",CM,Austria,23,WSG Tirol
N. Fröling,Nils Fröling,65,1600000,"LM,RM",ST,Sweden,22,F.C. Hansa Rostock
R. Rodríguez,Renier Rodríguez,65,160000,"LB,CB",LB,Venezuela,38,Metropolitanos de Caracas FC
T. Beason,Tanner Beason,65,900000,CB,CB,United States,25,San Jose Earthquakes
M. Vukčević,Marko Vukčević,65,625000,RB,RB,Montenegro,29,AFC UTA Arad
B. Öksüz,Burak Öksüz,65,825000,CB,CB,Turkey,26,Atakaş Hatayspor
Song Si Woo,Si Woo Song,65,725000,"ST,RM",LW,Korea Republic,28,Incheon United FC
T. Muyumba,Tristan Muyumba,65,900000,"CDM,CM",CDM,France,25,En Avant de Guingamp
B. Fleming,Brandon Fleming,65,1100000,"LB,LWB,LM",LB,England,22,Hull City
Léo Chú,Leonardo Alves Chú,65,1500000,"LM,LW",LM,Brazil,22,Seattle Sounders FC
G. Torje,Gabriel Torje,65,575000,"RW,LW",RW,Romania,32,FC Farul Constanța
I. Anthony,Izuchukwu Anthony,65,925000,"CB,CDM",CB,Nigeria,24,Al Khaleej
H. Hassan,Haissem Hassan,65,1700000,"RM,LM",LM,France,20,Villarreal Club de Fútbol B
C. Mola,Clinton Mola,65,1500000,"LB,CB",CDM,England,21,Blackburn Rovers
M. Novak,Michael Novak,65,525000,"RB,RWB,LB",RB,Austria,31,RZ Pellets Wolfsberger AC
P. Matricardi,Patricio Matricardi,65,675000,CB,CB,Argentina,28,FC Voluntari
J. McCart,Jamie McCart,65,950000,CB,CB,Scotland,25,Rotherham United
C. Alexander,Cole Alexander,65,550000,"CM,CAM,RM",RM,South Africa,32,Kaizer Chiefs
C. Borthwick-Jackson,Cameron Borthwick-Jackson,65,825000,"LWB,CB",LWB,England,25,Burton Albion
L. Bergsma,Leon Bergsma,65,900000,CB,CB,Netherlands,25,SC Cambuur
K. Klaesson,Kristoffer Klaesson,65,1500000,GK,GK,Norway,21,Leeds United
L. Bell Bell,Leon Bell Bell,65,875000,LB,LB,Cameroon,25,1. FC Magdeburg
F. Zuculini,Franco Zuculini,65,575000,CM,CDM,Argentina,31,SPAL
C. Conteh,Christian Conteh,65,1600000,"LM,RM,ST",RM,Germany,22,SG Dynamo Dresden
J. Beesley,Jake Beesley,65,1000000,ST,ST,England,25,Blackpool
D. Poha,Denis Will Poha,65,1000000,CM,CDM,France,25,FC Sion
V. Torp,Victor Torp,65,1600000,"CAM,CM,ST",CAM,Denmark,22,Sarpsborg 08 FF
F. Jaritz,Florian Jaritz,65,975000,"LM,LB",LM,Austria,24,SK Austria Klagenfurt
N. Mijušković,Nemanja Mijušković,65,575000,CB,CB,Montenegro,30,Miedź Legnica
Samuel Soares,Samuel Jumpe Soares,65,1700000,GK,GK,Portugal,20,SL Benfica
Rufo,Ruben Herráiz Alcaraz,65,700000,"CAM,ST",CAM,Spain,29,Sandefjord Fotball
A. Kawaya,Andy Kawaya,65,850000,"RM,LM",RM,Belgium,25,Albacete BP
D. Guidi,Dominique Guidi,65,875000,CB,CB,France,26,SC Bastia
J. Becerra,Juan Camilo Becerra,65,1100000,ST,ST,Colombia,24,RCD Espanyol de Barcelona
E. Jelert,Elias Jelert,65,1500000,"RB,LB",RWB,Denmark,19,F.C. København
J. Emmanuel-Thomas,Jay Emmanuel-Thomas,65,600000,ST,ST,England,31,Jamshedpur FC
M. Paulissen,Mitchel Paulissen,65,700000,"CAM,CM",CAM,Netherlands,29,SC Cambuur
K. Edwards,Kyle Edwards,65,975000,"LW,LM",RM,England,24,Ipswich Town
C. Cvetko,Christopher Cvetko,65,850000,"CDM,CM",CDM,Austria,25,SK Austria Klagenfurt
M. Barsham,Meshaal Barsham,65,0,GK,GK,Qatar,24,Free agent
C. MacGillivray,Craig MacGillivray,65,550000,GK,GK,Scotland,29,Charlton Athletic
A. Alaaeldin,Ahmed Alaaeldin,65,0,"ST,RW",ST,Qatar,29,Free agent
O. Zandén,Oliver Zandén,65,1600000,LB,LB,Sweden,20,Toulouse Football Club
Ricardo Friedrich,Ricardo Schuck Friedrich,65,600000,GK,GK,Brazil,29,Kalmar FF
J. Medina,Jonathan Medina,65,500000,GK,GK,Peru,29,Club Alianza Lima
M. Ramos,Michell Ramos,65,1100000,ST,ST,Colombia,24,Deportivo Cali
M. Raičković,Milos Raičković,65,725000,CM,CM,Montenegro,28,Seongnam FC
Ricardo Silva,Ricardo Manuel Vieira da Silva,65,925000,GK,GK,Portugal,23,Santa Clara
A. May,Adam May,65,1000000,"CAM,CDM",CAM,England,24,Cambridge United
Þ. Helgason,Þórir Jóhann Helgason,65,1600000,CM,CAM,Iceland,21,Lecce
A. Iannarilli,Antony Iannarilli,65,375000,GK,GK,Italy,31,Ternana
S. Buș,Sergiu Buș,65,725000,ST,ST,Romania,29,CFR Cluj
T. Bech,Tobias Bech,65,1600000,"RM,RW",CAM,Denmark,20,FC Ingolstadt 04
R. Herrmann,Robert Herrmann,65,725000,"LM,LB,CM",LM,Germany,28,FSV Zwickau
L. Jephcott,Luke Jephcott,65,1100000,ST,ST,Wales,22,Swindon Town
Y. Díaz,Yesid Díaz,65,1300000,CDM,CDM,Colombia,24,Independiente Medellín
E. Cashin,Eiran Cashin,65,1500000,CB,CB,Republic of Ireland,20,Derby County
A. Thurgate,Angus Thurgate,65,1400000,"CDM,CM,CAM",CAM,Australia,22,Newcastle Jets
S. Najar,Suheyel Najar,65,775000,"RM,LM,CAM",RM,Germany,26,SV Wehen Wiesbaden
E. Latte Lath,Emmanuel Latte Lath,65,1600000,"ST,LW",ST,Côte d'Ivoire,23,FC St. Gallen 1879
D. Borkowski,Dennis Borkowski,65,1600000,"ST,LM",ST,Germany,20,SG Dynamo Dresden
Dani Fernández,Daniel Fernández Fernández,65,975000,"RB,RM",RB,Spain,25,Racing Santander
R. Murić,Robert Murić,65,850000,RM,CAM,Croatia,26,İttifak Holding Konyaspor
J. Ramos,Jiovany Ramos,65,1000000,CB,CB,Panama,25,Deportivo La Guaira FC
J. Payne,Jack Payne,65,750000,CM,CAM,England,27,Charlton Athletic
I. Stoica,Ianis Stoica,65,1700000,"ST,RW,CF",RM,Romania,19,FCSB (Steaua)
E. Cornelisse,Enzo Cornelisse,65,1600000,CB,CDM,Netherlands,20,Vitesse
N. Cova,Néstor Cova,65,750000,LB,LB,Venezuela,27,Metropolitanos de Caracas FC
L. Roberts,Liam Roberts,65,600000,GK,GK,England,27,Middlesbrough
R. Onea,Răzvan Onea,65,950000,RB,RWB,Romania,24,Rapid București
J. Pignani,Juan Pablo Pignani,65,1500000,CB,CB,Argentina,20,Platense
J. Espinoza,Joseph Espinoza,65,1500000,"CDM,CM",CM,Ecuador,21,LDU Quito
K. Faber,Konrad Faber,65,1000000,"RB,CAM,RM",RM,Germany,24,SSV Jahn Regensburg
A. Al-Dakhil,Ameen Al-Dakhil,65,1500000,CB,CB,Belgium,20,Sint-Truidense VV
A. Cayetano,Agustín Cayetano,65,1500000,"LB,LWB",LB,Uruguay,22,Liverpool Fútbol Club
S. Herrera,Santiago Herrera,65,1500000,"ST,CAM,RW",ST,Venezuela,22,Deportivo La Guaira FC
H. Arter,Harry Arter,65,475000,"CDM,CM",CDM,Republic of Ireland,32,Nottingham Forest
O. Aydın,Okan Aydın,65,725000,"CAM,LM,RM",CAM,Turkey,28,TSV Egger Glas Hartberg
D. Jablonský,David Jablonský,65,575000,CB,CB,Czech Republic,30,Cracovia
W. Velasco,William Velasco,65,1500000,"RM,CM",CAM,Bolivia,22,Independiente Petrolero
T. Aldred,Tom Aldred,65,500000,CB,CB,Scotland,31,Brisbane Roar
M. Kheder,Musab Kheder,65,0,"RWB,CB",RWB,Qatar,28,Free agent
M. Thiel,Maximilian Thiel,65,700000,"LM,CAM",LW,Germany,29,FC Erzgebirge Aue
J. Gómez,Johan Arath Gómez,65,1700000,"CF,RM,CAM",CAM,United States,20,FSV Zwickau
K. N'Chobi,Kader N'Chobi,65,950000,"ST,LM",ST,France,26,Stade Lavallois Mayenne FC
A. Yiğiter,Abdullah Yiğiter,65,925000,GK,GK,Turkey,22,Atakaş Hatayspor
A. Rebbach,Abderrahman Rebbach,65,1100000,"LM,RM,CAM",ST,Algeria,23,Deportivo Alavés
S. Guarirapa,Saúl Guarirapa,65,1900000,"ST,LM",ST,Venezuela,19,Caracas Fútbol Club
S. Jasper,Sylvester Jasper,65,1600000,"RM,LM",RM,Bulgaria,21,Bristol Rovers
F. Orozco,Franco Orozco,65,1900000,"LM,LW,RW",RM,Argentina,20,Club Atlético Lanús
Miguel Sousa,Miguel Ferreira de Sousa,65,1100000,CAM,CAM,Portugal,23,Clube Sport Marítimo
B. Śpiączka,Bartosz Śpiączka,65,700000,ST,ST,Poland,30,Korona Kielce
Kim Min Hyeok,Min Hyeok Kim,65,575000,CB,CB,Korea Republic,30,Seongnam FC
Álvaro Sanz,Álvaro Sanz Catalán,65,1700000,CDM,CDM,Spain,21,FC Barcelona
T. Rojas,Tito Rojas,65,120000,GK,GK,Venezuela,34,Metropolitanos de Caracas FC
L. Ríos,Lautaro Ríos,65,1800000,"CM,CDM",CM,Argentina,21,Club Atlético Banfield
T. Sanuç,Tayyip Sanuç,65,1500000,CB,CB,Turkey,22,Beşiktaş JK
B. Yardımcı,Barış Yardımcı,65,625000,RB,RB,Turkey,29,İttifak Holding Konyaspor
F. Carabalí,Franklin Carabalí,65,800000,"RB,CB",CB,Ecuador,26,Mushuc Runa
Jordi Escobar,Jordi Escobar Fernández,65,1600000,"ST,LW",ST,Spain,20,Real Betis Balompié
D. Jebbison,Daniel Jebbison,65,1700000,ST,ST,England,18,Sheffield United
Á. Campuzano,Álvaro Campuzano,65,825000,CDM,CDM,Paraguay,27,Club Libertad
Bobadilla,Pablo Bobadilla Sáenz,65,925000,CB,CB,Spain,26,Racing Santander
D. Sikan,Danylo Sikan,65,1800000,ST,ST,Ukraine,21,Shakhtar Donetsk
D. Mandroiu,Danny Mandroiu,65,1400000,LW,CAM,Republic of Ireland,23,Lincoln City
R. van der Venne,Richard van der Venne,65,700000,"CAM,CM",CAM,Netherlands,30,Melbourne City FC
T. Bunbury,Teal Bunbury,65,575000,"ST,LM,RM",ST,United States,32,Nashville SC
T. Căpușă,Tiberiu Căpușă,65,1000000,RB,RB,Romania,24,AFC Chindia Târgoviște
J. Nation,Jonatan Tollås Nation,65,475000,CB,CB,Norway,32,Vålerenga Fotball
D. Ajiboye,David Ajiboye,65,1100000,RM,RM,England,23,Peterborough United
Guille Rosas,Guillermo Rosas Alonso,65,1500000,RB,RWB,Spain,22,Real Sporting de Gijón
M. Watkins,Marley Watkins,65,600000,ST,CF,Wales,31,Aberdeen
O. Bundgaard,Oliver Bundgaard,65,1700000,LB,LB,Denmark,21,Viborg FF
A. Jonjić,Antonio Jonjić,65,1500000,"ST,RM,LM",CAM,Germany,22,FC Erzgebirge Aue
O. Barreto,Orlando Barreto,65,775000,"CB,CDM",CB,Paraguay,24,General Caballero (JLM)
E. Kitolano,Eric Bugale Kitolano,65,975000,"CAM,CF,CM",RM,Norway,24,Tromsø IL
E. Erhahon,Ethan Erhahon,65,1600000,"CM,CDM",CAM,Scotland,21,St. Mirren
S. Finley,Sam Finley,65,700000,CM,CM,England,29,Bristol Rovers
L. Passerini,Lucas Passerini,65,775000,ST,ST,Argentina,27,Unión La Calera
V. Besuijen,Vicente Besuijen,65,1600000,"CAM,RM",RM,Netherlands,21,Aberdeen
P. Janasik,Patryk Janasik,65,950000,"RB,RM",RWB,Poland,24,Śląsk Wrocław
M. Vera,Matías Vera,65,1100000,RB,RWB,Argentina,23,Club Atlético Lanús
S. Brunelli,Santiago Brunelli,65,975000,CB,CB,Uruguay,24,Club Atlético River Plate
A. Ariano,Azmahar Ariano,65,500000,CB,CB,Panama,31,Deportivo Táchira FC
T. Rothe,Tom Rothe,65,1700000,"LB,LM",LB,Germany,17,Borussia Dortmund
L. Maniero,Luca Maniero,65,750000,GK,GK,Italy,27,Cittadella
S. Opsahl,Sakarias Opsahl,65,1400000,CM,CM,Norway,22,Tromsø IL
F. Winther,Frederik Winther,65,1500000,CB,CB,Denmark,21,FC Augsburg
A. Sánchez,Alejandro Sánchez,65,80000,GK,GK,Argentina,35,Platense
M. Elia,Marios Elia,65,850000,"RW,CF",ST,Cyprus,26,APOEL Nicosia FC
V. Boone,Viktor Boone,65,975000,CB,CB,Belgium,24,Royale Union Saint-Gilloise
J. Augustinsson,Jonathan Augustinsson,65,850000,"LWB,CB",LWB,Sweden,26,Rosenborg BK
D. Ouattara,Dango Ouattara,65,1600000,"ST,LW",ST,Burkina Faso,20,FC Lorient
B. Nastić,Bojan Nastić,65,700000,"LWB,LM,LB",LWB,Bosnia and Herzegovina,27,Jagiellonia Białystok
A. Keita,Aboubacar Keita,65,1300000,CB,CB,United States,22,Colorado Rapids
L. Sercombe,Liam Sercombe,65,550000,CM,CM,England,32,Cheltenham Town
F. Wagner,Fridolin Wagner,65,1100000,"CM,CAM,CDM",CM,Germany,24,SV Waldhof Mannheim 07
J. Mvuka,Joel Mvuka,65,1700000,"RW,LW",RM,Norway,19,FK Bodø/Glimt
I. Batha,Idriz Batha,65,600000,"CDM,CM",CDM,Albania,30,AFC UTA Arad
A. Fernández,Adriel Fernández,65,850000,"LM,LB",LM,Bolivia,26,Club Deportivo Jorge Wilstermann
A. Németh,András Németh,65,1700000,ST,ST,Hungary,19,KRC Genk
K. Jørgensen,Kasper Jørgensen,65,1500000,"RWB,RB,LB",RWB,Denmark,22,Lyngby BK
A. Poulsen,Andreas Poulsen,65,1400000,"LB,LM",LWB,Denmark,22,Aalborg BK
Diego Conde,Diego José Conde Alcolado,65,1400000,GK,GK,Spain,23,Getafe CF
M. Waad,Mohammed Waad,65,0,"CDM,CB,LWB",CB,Qatar,22,Free agent
T. Nichols,Tom Nichols,65,725000,"ST,LW",CF,England,28,Crawley Town
E. Brophy,Eamonn Brophy,65,850000,ST,ST,Scotland,26,St. Mirren
C. Trueman,Connal Trueman,65,775000,GK,GK,England,26,Millwall
T. Moore,Taylor Moore,65,950000,"CB,CDM",CB,England,25,Shrewsbury Town
Juan Cámara,Juan del Carmen Cámara Mesa,65,725000,"RM,LM,CF",RM,Spain,28,Jagiellonia Białystok
E. Muçi,Ernest Muçi,65,1600000,"CAM,LM,CF",CAM,Albania,21,Legia Warszawa
B. Leyes,Bruno Leyes,65,1600000,"CM,CDM",CM,Argentina,20,Godoy Cruz
F. Zapiola,Franco Zapiola,65,1800000,"LM,CAM",RM,Argentina,21,Estudiantes de La Plata
C. Diedhiou,Christophe Diedhiou,65,230000,CB,CB,Senegal,34,US Quevilly Rouen Métropole
M. Hanousek,Marek Hanousek,65,600000,"CDM,CM,CB",CDM,Czech Republic,30,Widzew Łódź
Romário,Romário Pereira Sipião,65,230000,"CM,CDM",CAM,Brazil,36,Kalmar FF
L. Owusu,Leonard Owusu,65,900000,"CDM,CM",CDM,Ghana,25,Vancouver Whitecaps FC
M. Doležal,Martin Doležal,65,575000,ST,ST,Czech Republic,32,Zagłębie Lubin
T. Gjertsen,Torgil Gjertsen,65,700000,"RM,LM",RM,Norway,30,Kristiansund BK
J. Lacerda,Jonathan Lacerda,65,190000,CB,CB,Uruguay,35,Montevideo Wanderers
N. Vergos,Nikos Vergos,65,950000,ST,ST,Greece,26,RZ Pellets Wolfsberger AC
D. Ernst,Dominik Ernst,65,525000,"RWB,RM",RWB,Germany,31,1. FC Saarbrücken
Bruno Leite,Bruno Miguel Santos Leite,65,825000,CM,CM,Cape Verde Islands,27,FK Haugesund
Heo Yong Joon,Yong Joon Heo,65,725000,"ST,LW",ST,Korea Republic,29,Pohang Steelers
M. González,Maximiliano González,65,1600000,"CDM,CM",CDM,Argentina,18,Club Atlético Lanús
O. Kefkir,Oguzhan Kefkir,65,700000,"LM,RM",LM,Germany,30,Rot-Weiß Essen
R. Fernandes,Rashaan Fernandes,65,1100000,"RM,LM,ST",RM,Netherlands,23,Go Ahead Eagles
Alvaro Rodríguez,Alvaro Rodríguez Pérez,65,700000,"RB,RWB",RB,Spain,27,Albacete BP
D. Bertrand,Dorian Bertrand,65,700000,"LW,LM,RW",LW,Madagascar,29,Campionii FC Arges
D. Osio,Diego Osio,65,1000000,CB,CB,Venezuela,25,Caracas Fútbol Club
R. Simisterra,Renny Simisterra,65,1000000,ST,ST,Ecuador,24,Deportivo Táchira FC
Peng Xinli,Xinli Peng,65,675000,"CM,CDM",CAM,China PR,30,Shanghai Shenhua FC
J. Zwischenbrugger,Jan Zwischenbrugger,65,475000,CB,CB,Austria,32,SC Rheindorf Altach
D. Jaiyesimi,Diallang Jaiyesimi,65,1100000,"RW,RWB",RM,England,24,Charlton Athletic
T. Silvestri,Tommaso Silvestri,65,575000,CB,CB,Italy,30,Modena
K. Sardella,Killian Sardella,65,1500000,"RB,LB",RWB,Belgium,20,RSC Anderlecht
J. Efford,Joseph Efford,65,950000,ST,ST,United States,25,Motherwell
B. Risa,Birk Risa,65,975000,"CB,LWB,LB",CB,Norway,24,Molde FK
M. Morello,Matías Morello,65,1800000,CM,CM,Argentina,21,Club Atlético Aldosivi
C. Makridis,Charalambos Makridis,65,950000,"CAM,ST",ST,Germany,25,SSV Jahn Regensburg
Isma Ruiz,Ismael Ruiz Sánchez,65,1700000,"CDM,CM",CDM,Spain,21,UD Ibiza
L. Bate,Lewis Bate,65,1800000,"CM,CDM",CAM,England,19,Oxford United
